Date,Price,Open,High,Low,Vol.,Change %
"Jul 01, 2015",56.96,58.98,58.98,56.68,373.41K,-4.22%
"Jul 02, 2015",56.93,56.87,57.95,56.50,297.05K,-0.05%
"Jul 03, 2015",55.52,56.60,56.78,55.42,-,-2.48%
"Jul 06, 2015",52.53,56.42,56.79,52.41,540.61K,-5.39%
"Jul 07, 2015",52.33,52.75,53.43,50.58,527.27K,-0.38%
"Jul 08, 2015",51.65,52.91,52.96,50.91,434.75K,-1.30%
"Jul 09, 2015",52.78,51.83,53.54,51.48,382.33K,2.19%
"Jul 10, 2015",52.74,52.48,53.89,51.96,349.08K,-0.08%
"Jul 13, 2015",52.20,52.15,53.17,51.26,359.48K,-1.02%
"Jul 14, 2015",53.04,52.00,53.43,50.88,422.76K,1.61%
"Jul 15, 2015",51.41,53.40,53.50,51.21,334.56K,-3.07%
"Jul 16, 2015",50.91,51.62,52.17,50.84,319.17K,-0.97%
"Jul 17, 2015",50.89,50.91,51.23,50.14,203.49K,-0.04%
"Jul 20, 2015",50.15,50.76,51.26,49.85,102.60K,-1.45%
"Jul 21, 2015",50.36,49.95,51.02,49.77,23.13K,0.42%
"Jul 22, 2015",49.19,50.71,50.71,49.04,347.99K,-2.32%
"Jul 23, 2015",48.45,49.23,49.63,48.21,316.06K,-1.50%
"Jul 24, 2015",48.14,48.79,49.03,47.72,278.23K,-0.64%
"Jul 27, 2015",47.39,48.00,48.20,46.91,273.61K,-1.56%
"Jul 28, 2015",47.98,47.02,48.44,46.68,338.11K,1.24%
"Jul 29, 2015",48.79,47.81,49.52,47.39,366.89K,1.69%
"Jul 30, 2015",48.52,48.83,49.36,48.34,247.66K,-0.55%
"Jul 31, 2015",47.12,48.47,48.62,46.70,334.47K,-2.89%
"Aug 03, 2015",45.17,46.86,46.94,45.08,371.09K,-4.14%
"Aug 04, 2015",45.74,45.35,46.23,45.29,285.79K,1.26%
"Aug 05, 2015",45.15,45.96,46.70,44.83,367.33K,-1.29%
"Aug 06, 2015",44.66,45.16,45.27,44.20,360.98K,-1.09%
"Aug 07, 2015",43.87,44.82,45.16,43.70,400.07K,-1.77%
"Aug 10, 2015",44.96,43.58,45.01,43.35,491.43K,2.48%
"Aug 11, 2015",43.08,44.81,45.34,42.69,538.01K,-4.18%
"Aug 12, 2015",43.30,43.27,43.87,42.80,492.27K,0.51%
"Aug 13, 2015",42.23,43.34,43.72,41.91,420.15K,-2.47%
"Aug 14, 2015",42.50,42.23,42.96,41.35,317.21K,0.64%
"Aug 17, 2015",41.87,42.18,42.69,41.64,314.28K,-1.48%
"Aug 18, 2015",42.62,41.88,42.90,41.43,200.19K,1.79%
"Aug 19, 2015",40.80,42.41,42.68,40.40,107.58K,-4.27%
"Aug 20, 2015",41.14,40.58,41.48,40.21,24.78K,0.83%
"Aug 21, 2015",40.45,41.03,41.40,39.86,377.18K,-1.68%
"Aug 24, 2015",38.24,40.30,40.47,37.75,468.37K,-5.46%
"Aug 25, 2015",39.31,38.18,39.89,38.16,375.65K,2.80%
"Aug 26, 2015",38.60,39.69,39.86,38.52,368.72K,-1.81%
"Aug 27, 2015",42.56,38.96,42.86,38.95,533.68K,10.26%
"Aug 28, 2015",45.22,42.68,45.90,41.78,666.33K,6.25%
"Aug 31, 2015",49.20,45.00,49.33,43.60,757.50K,8.80%
"Sep 01, 2015",45.41,48.10,48.87,44.15,713.42K,-7.70%
"Sep 02, 2015",46.25,44.26,46.77,43.21,689.30K,1.85%
"Sep 03, 2015",46.75,46.11,48.42,45.65,539.45K,1.08%
"Sep 04, 2015",46.05,46.68,47.23,45.61,385.63K,-1.50%
"Sep 06, 2015",45.72,45.72,45.87,45.61,-,-0.72%
