Date,Price,Open,High,Low,Vol.,Change %
"Jan 01, 2015",54.56,53.73,54.85,53.72,-,2.43%
"Jan 02, 2015",52.69,53.76,55.11,52.03,268.71K,-3.44%
"Jan 05, 2015",50.04,52.61,52.73,49.68,375.78K,-5.03%
"Jan 06, 2015",47.93,50.00,50.37,47.55,451.64K,-4.22%
"Jan 07, 2015",48.65,48.00,49.31,46.83,460.08K,1.50%
"Jan 08, 2015",48.79,48.78,49.65,47.73,362.08K,0.29%
"Jan 09, 2015",48.36,48.92,49.61,47.16,421.01K,-0.88%
"Jan 12, 2015",46.07,48.19,48.19,45.62,394.95K,-4.74%
"Jan 13, 2015",45.89,45.69,46.79,44.20,476.54K,-0.39%
"Jan 14, 2015",48.48,46.16,48.91,45.01,510.25K,5.64%
"Jan 15, 2015",46.25,48.60,51.27,46.07,478.34K,-4.60%
"Jan 16, 2015",48.69,46.35,48.87,45.95,175.63K,5.28%
"Jan 18, 2015",48.85,48.95,49.06,48.78,-,0.32%
"Jan 19, 2015",47.78,48.84,49.19,47.64,-,-2.18%
"Jan 20, 2015",46.39,48.69,48.77,45.89,49.74K,-2.91%
"Jan 21, 2015",47.78,46.69,48.20,46.55,340.25K,3.00%
"Jan 22, 2015",46.31,47.35,49.09,45.87,426.83K,-3.08%
"Jan 23, 2015",45.59,46.63,47.76,45.21,374.29K,-1.55%
"Jan 26, 2015",45.15,45.20,46.41,44.35,310.64K,-0.97%
"Jan 27, 2015",46.23,45.13,46.55,44.81,313.14K,2.39%
"Jan 28, 2015",44.45,45.83,45.83,44.08,365.44K,-3.85%
"Jan 29, 2015",44.53,44.43,44.96,43.58,300.73K,0.18%
"Jan 30, 2015",48.24,44.63,48.35,44.31,454.14K,8.33%
"Feb 02, 2015",49.57,47.59,50.56,46.67,511.41K,2.76%
"Feb 03, 2015",53.05,49.79,54.24,49.69,644.92K,7.02%
"Feb 04, 2015",48.45,51.67,52.56,47.95,577.52K,-8.67%
"Feb 05, 2015",50.48,48.67,52.10,47.36,596.85K,4.19%
"Feb 06, 2015",51.69,50.86,53.16,50.72,584.98K,2.40%
"Feb 09, 2015",52.86,52.01,53.99,51.65,536.36K,2.26%
"Feb 10, 2015",50.02,52.43,52.65,49.86,501.70K,-5.37%
"Feb 11, 2015",48.84,50.98,51.14,48.05,519.27K,-2.36%
"Feb 12, 2015",51.21,49.42,51.60,49.14,563.66K,4.85%
"Feb 13, 2015",52.78,51.35,53.43,51.03,437.07K,3.07%
"Feb 15, 2015",54.06,53.75,54.42,53.71,-,2.42%
"Feb 16, 2015",53.61,54.04,54.08,52.92,-,-0.82%
"Feb 17, 2015",53.53,52.75,54.15,50.81,518.80K,-0.15%
"Feb 18, 2015",52.14,53.24,53.41,50.32,257.48K,-2.60%
"Feb 19, 2015",51.16,50.55,52.14,49.15,125.21K,-1.88%
"Feb 20, 2015",50.34,51.24,51.85,49.91,30.66K,-1.60%
"Feb 23, 2015",49.45,50.75,50.99,48.67,475.38K,-1.77%
