Date,Price,Open,High,Low,Vol.,Change %
"Feb 24, 2015",49.28,49.42,50.33,48.68,293.10K,-0.34%
"Feb 25, 2015",50.99,49.16,51.28,48.43,429.52K,3.47%
"Feb 26, 2015",48.17,51.00,51.22,47.80,459.58K,-5.53%
"Feb 27, 2015",49.76,48.97,49.94,48.46,399.49K,3.30%
"Mar 02, 2015",49.59,49.45,51.04,48.71,427.18K,-0.34%
"Mar 03, 2015",50.52,49.80,50.83,49.45,370.60K,1.88%
"Mar 04, 2015",51.53,50.61,51.99,49.60,463.99K,2.00%
"Mar 05, 2015",50.76,51.62,52.40,50.61,370.95K,-1.49%
"Mar 06, 2015",49.61,50.89,51.22,48.88,406.84K,-2.27%
"Mar 09, 2015",50.00,49.60,50.79,49.25,409.88K,0.79%
"Mar 10, 2015",48.29,50.08,50.36,48.20,395.76K,-3.42%
"Mar 11, 2015",48.17,48.77,49.05,47.33,404.59K,-0.25%
"Mar 12, 2015",47.05,48.44,48.76,46.86,358.38K,-2.33%
"Mar 13, 2015",44.84,46.93,47.28,44.75,395.72K,-4.70%
"Mar 16, 2015",43.88,44.81,45.00,42.85,367.60K,-2.14%
"Mar 17, 2015",43.46,43.84,44.20,42.41,346.31K,-0.96%
"Mar 18, 2015",44.66,42.51,45.34,42.03,220.64K,2.76%
"Mar 19, 2015",43.96,44.60,44.71,42.75,106.91K,-1.57%
"Mar 20, 2015",45.72,43.99,46.53,43.31,22.46K,4.00%
"Mar 23, 2015",47.45,46.41,47.61,45.33,292.42K,3.78%
"Mar 24, 2015",47.51,47.46,48.56,46.67,309.55K,0.13%
"Mar 25, 2015",49.21,47.72,49.46,47.00,398.80K,3.58%
"Mar 26, 2015",51.43,49.02,52.48,48.73,515.28K,4.51%
"Mar 27, 2015",48.87,51.01,51.38,48.21,384.09K,-4.98%
"Mar 30, 2015",48.68,48.57,49.16,47.61,355.87K,-0.39%
"Mar 31, 2015",47.60,48.73,48.73,47.28,365.75K,-2.22%
"Apr 01, 2015",50.09,47.55,50.45,47.05,451.10K,5.23%
"Apr 02, 2015",49.14,49.59,50.27,48.11,453.39K,-1.90%
"Apr 03, 2015",49.14,49.14,49.14,49.14,-,0.00%
"Apr 06, 2015",52.14,49.47,52.24,49.47,325.28K,6.11%
"Apr 07, 2015",53.98,51.95,54.13,51.17,548.87K,3.53%
"Apr 08, 2015",50.42,53.18,53.23,50.37,552.63K,-6.60%
"Apr 09, 2015",50.79,51.00,52.07,50.51,449.53K,0.73%
"Apr 10, 2015",51.64,50.73,51.93,50.08,395.14K,1.67%
"Apr 13, 2015",51.91,51.81,53.10,51.47,375.53K,0.52%
"Apr 14, 2015",53.29,52.05,53.79,51.83,431.03K,2.66%
"Apr 15, 2015",56.39,53.55,56.69,53.39,508.90K,5.82%
"Apr 16, 2015",56.71,55.92,57.42,55.07,413.13K,0.57%
"Apr 17, 2015",55.74,56.56,56.88,55.31,230.62K,-1.71%
"Apr 20, 2015",56.38,56.16,57.17,54.85,112.38K,1.15%
"Apr 21, 2015",55.26,56.41,56.91,55.01,29.60K,-1.99%
"Apr 22, 2015",56.16,56.34,57.19,55.73,329.63K,1.63%
"Apr 23, 2015",57.74,56.28,58.41,55.76,415.57K,2.81%
"Apr 24, 2015",57.15,57.53,57.95,56.50,328.32K,-1.02%
"Apr 27, 2015",56.99,57.30,57.89,56.52,250.56K,-0.28%
"Apr 28, 2015",57.06,56.65,57.83,56.07,281.86K,0.12%
"Apr 29, 2015",58.58,56.93,59.33,56.54,411.10K,2.66%
"Apr 30, 2015",59.63,58.55,59.85,58.38,340.32K,1.79%
"May 01, 2015",59.15,59.79,59.90,58.32,244.75K,-0.80%
"May 04, 2015",58.93,59.30,59.73,58.45,215.05K,-0.37%
"May 05, 2015",60.40,58.95,61.10,58.63,389.74K,2.49%
"May 06, 2015",60.93,60.72,62.58,60.54,423.58K,0.88%
"May 07, 2015",58.94,60.69,61.31,58.49,437.02K,-3.27%
"May 08, 2015",59.39,59.02,59.90,58.14,434.58K,0.76%
"May 11, 2015",59.25,59.43,59.85,58.75,332.69K,-0.24%
"May 12, 2015",60.75,59.27,61.36,59.12,397.35K,2.53%
"May 13, 2015",60.50,61.23,61.85,60.02,426.84K,-0.41%
"May 14, 2015",59.88,60.10,60.84,59.36,361.43K,-1.02%
"May 15, 2015",59.69,59.67,59.97,58.42,222.09K,-0.32%
"May 18, 2015",59.43,59.85,60.88,59.06,144.39K,-0.44%
"May 19, 2015",57.26,59.54,59.63,57.09,30.30K,-3.65%
"May 20, 2015",58.98,58.32,59.04,58.10,287.13K,3.00%
"May 21, 2015",60.72,58.81,60.94,58.69,329.77K,2.95%
"May 22, 2015",59.72,60.66,60.80,59.35,230.31K,-1.65%
"May 24, 2015",59.92,60.01,60.01,59.78,-,0.33%
"May 25, 2015",59.85,59.93,60.24,59.11,-,-0.12%
"May 26, 2015",58.03,60.05,60.25,57.71,330.13K,-3.03%
"May 27, 2015",57.51,58.32,58.95,57.36,314.92K,-0.90%
"May 28, 2015",57.68,57.63,58.07,56.51,340.68K,0.30%
"May 29, 2015",60.30,57.97,60.70,57.72,452.22K,4.54%
"Jun 01, 2015",60.20,60.29,60.64,59.33,292.19K,-0.17%
"Jun 02, 2015",61.26,60.18,61.58,60.09,344.51K,1.76%
"Jun 03, 2015",59.64,61.02,61.43,59.34,371.30K,-2.64%
"Jun 04, 2015",58.00,59.57,59.94,57.83,363.35K,-2.75%
"Jun 05, 2015",59.13,57.99,59.23,56.83,461.02K,1.95%
"Jun 08, 2015",58.14,58.96,59.13,57.86,339.85K,-1.67%
"Jun 09, 2015",60.14,58.31,60.68,58.23,405.49K,3.44%
"Jun 10, 2015",61.43,60.58,61.82,60.45,459.77K,2.14%
"Jun 11, 2015",60.77,61.14,61.53,60.21,352.42K,-1.07%
"Jun 12, 2015",59.96,60.55,60.63,59.73,246.90K,-1.33%
"Jun 15, 2015",59.52,59.90,59.98,58.73,275.19K,-0.73%
"Jun 16, 2015",59.97,59.60,60.37,59.42,233.94K,0.76%
"Jun 17, 2015",59.92,60.03,61.38,58.85,396.16K,-0.08%
"Jun 18, 2015",60.45,59.78,60.89,59.25,181.88K,0.88%
"Jun 19, 2015",59.61,60.50,60.56,58.88,116.66K,-1.39%
"Jun 22, 2015",59.68,59.44,60.30,58.93,26.74K,0.12%
"Jun 23, 2015",61.01,60.21,61.49,59.55,336.22K,2.23%
"Jun 24, 2015",60.27,61.14,61.57,59.80,312.99K,-1.21%
"Jun 25, 2015",59.70,60.22,60.46,59.43,222.34K,-0.95%
"Jun 26, 2015",59.63,59.66,59.96,58.76,231.96K,-0.12%
"Jun 29, 2015",58.33,58.84,59.27,58.04,286.04K,-2.18%
"Jun 30, 2015",59.47,58.27,59.69,57.94,282.48K,1.95%
